role_model_summary,count
Father,146
Mother,75
Parents,42
Steve Jobs,16
Boss,13
Jesus Christ,7
Warren Buffett,6
Michelle Obama,5
Cristiano Ronaldo,4
Satya Nadella,4
Carl Sagan,4
Kobe Bryant,4
Elon Musk,3
Abdul Kalam,3
Charlie Munger,3
Indra Nooyi,3
Michael Jordan,3
Ruth Bader Ginsburg,3
Jensen Huang,2
Tom Brady,2
Alan Mulally,2
Sachin Tendulkar,2
Anthony Bourdain,2
David Bowie,2
Albert Einstein,2
Sourav Ganguly,2
Kalpana Chawla,2
Tony Robbins,2
Taylor Swift,2
Ted Lasso,2
Jesus,2
Warren Buffet,2
America,2
Myles Munroe,1
Alex Morgan,1
Henry Ford,1
Qui Gon Jin,1
Jay Lee,1
Florence Knoll,1
Lisa Su,1
Jose Hernandez,1
Alexandra,1
Rick Bugenhagen,1
Ted Lasso - yes,1
Zohran Mamdani,1
Steve,1
William Faulkner,1
Rogers,1
Sydney Towle,1
Angela Davis,1
Brian Dawkins,1
Git,1
Spider-Man's,1
Jesse Cole,1
Arnell Brantley,1
Evel Knievel,1
A.P.J. Abdul Kalam,1
Barak Obama,1
Jackie Robinson,1
Marty,1
Chris,1
Ben,1
stephen king,1
Mao,1
Warren Buuet,1
Yi Sun-sin,1
Gelson,1
Khan,1
Jim Corbett - He,1
Gandhi,1
Mahatma Gandhi,1
Terry Pratchett,1
Ron Swanson,1
Alan Turing,1
Steve Nash,1
Anthony Kennedy,1
Charles Johnson,1
Graham Maxwell,1
Hercule Poirot,1
Davis,1
Stephen Curry,1
Toby Cosgrove,1
Tony Elumelu,1
Lewis Hamilton,1
Neil DeGrasse Tyson,1
My Aunt Tina,1
John Hopping,1
Barrack Obama,1
Joel Salatin,1
Fontana Automotive,1
John Hancock,1
Jerry Maguire,1
Managing Directors,1
Lebron James,1
Norm MacDonald,1
Bernie Sanders,1
Sadhguru Jaggi Vasudev & Mark Cuban,1
Kalam,1
Sonny,1
Atul Gawande,1
Katie Couric,1
Jamie Dimon,1
Napoleon Bonaparte,1
Gwynne Shotwell,1
Gillian Anderson,1
James Baldwin,1
Barack Obama,1
Brennan Lee Mulligan,1
Pete Carroll,1
Tom Woller,1
Edith Eger,1
Emeritus,1
Khalid ibn al-Walid,1
Albert Eistein,1
Herb Kelleher,1
Richard Winters,1
Nelson Mandela,1
Taiichi Ohno,1
Thomas Davenport,1
Steph Curry,1
Magic Johnson,1
Warren Buffett's,1
Lady Gaga,1
Kim Kardashian,1
Alexandre Dumas,1
Ken Griffin,1
Bill Nye,1
Frank Thomas,1
Jane Goodall,1
Cal Ripken Jr.,1
Sam Manekshaw,1
Fei-Fei Li,1
Marian Stricker,1
Sam Walton,1
Jose Mourinho,1
Ursula K. Le Guin,1
Liu Bei,1
John Elway,1
Bill Gates - a,1
Einstein,1
Yvon Chouinard,1
Katie Goar,1
Stuart Altman,1
Guido van Rossum,1
Jim Donovan,1
Jack Ma,1
Natalie,1
CJ Gustafson,1
Shivaji Maharaj,1
Doug Conant,1
Jessica,1
Grandma,1
Simon Sinek,1
Paul Radosevici,1
Madonna,1
Vern Chaney,1
Harriet Tubman,1
Steve Siu,1
Tan,1
Jay Nanduri,1
Abdul kalam,1
Mark Cuban,1
Mandela,1
